
UBV CCD observations


  No    Ref    V       B-V     U-B
 0382   562  17.666   1.024   0.585
 0383   562  17.671   1.401   0.478
 0384   562  17.672   1.014   0.503
 0385   562  17.675   1.346         
 0386   562  17.678   1.417         
 0387   562  17.681   1.143   0.580
 0388   562  17.688   1.191   0.402
 0390   562  17.719   1.083   0.255
 0391   562  17.720   2.103         
 0392   562  17.731   1.258   0.760
 0393   562  17.739   1.090   0.314
 0394   562  17.740   1.167   0.292
 0395   562  17.747   1.253   0.437
 0396   562  17.748   1.039   0.242
 0397   562  17.753   1.000   0.428
 0398   562  17.756   1.291   0.852
 0399   562  17.759   1.410         
 0400   562  17.761   1.049   0.380
 0401   562  17.762   1.546         
 0402   562  17.765   1.844         
 0403   562  17.766   0.943   0.648
 0404   562  17.767   1.111   0.205
 0405   562  17.769   1.031         
 0406   562  17.771   1.237   0.448
 0407   562  17.771   1.553         
 0408   562  17.781   1.356         
 0409   562  17.786   1.203   0.762
 0410   562  17.793   1.033   0.459
 0412   562  17.802   1.285         
 0413   562  17.802   1.262   0.627
 0414   562  17.804   1.030   0.441
 0415   562  17.807   1.180   0.478
 0416   562  17.809   1.090   0.488
 0418   562  17.818   1.467         
 0419   562  17.818   1.085   0.316
 0420   562  17.820   1.342   0.977
 0421   562  17.830   1.144   0.347
 0422   562  17.834   1.048   0.616
 0423   562  17.838   1.071   0.322
 0425   562  17.859   1.243   0.531
 0426   562  17.869   1.025   0.193
 0427   562  17.869   1.218   0.463
 0428   562  17.872   1.110   0.595
 0429   562  17.883   0.950   0.627
 0430   562  17.888   1.279   0.520
 0431   562  17.892   1.102   0.391
 0432   562  17.892   1.150   0.471
 0434   562  17.895   1.742         
 0435   562  17.898   1.396         
 0436   562  17.898   1.021   0.800
 0437   562  17.900   1.548   1.272
 0438   562  17.900   1.142   0.421
 0439   562  17.901   1.232   0.410
 0440   562  17.902   1.165   0.477
 0441   562  17.904   2.059         
 0442   562  17.906   1.345   0.587
 0443   562  17.910   1.263   0.838
 0444   562  17.912   1.321   0.191
 0445   562  17.912   1.178   0.198
 0446   562  17.914   1.400   0.507
 0447   562  17.920   1.211         
 0448   562  17.925   2.280         
 0449   562  17.925   1.235         
 0450   562  17.926   2.011         
 0451   562  17.931   1.146   0.282
 0452   562  17.937   1.472         
 0454   562  17.942   1.587         
 0455   562  17.957   1.720         
 0456   562  17.959   1.062   0.871
 0457   562  17.959   1.061   0.581
 0458   562  17.960   1.153   0.495
 0459   562  17.965   0.997         
 0460   562  17.967   1.370         
 0461   562  17.967   1.411   0.747
 0462   562  17.972   1.955         
 0463   562  17.976   1.183   0.632
 0464   562  17.977   1.863         
 0465   562  17.992   1.327         
 0466   562  17.993   1.439         
 0467   562  17.994   1.377         
 0468   562  17.994   1.150   0.362
 0469   562  17.996   1.084         
 0470   562  18.001   1.095   0.420
 0471   562  18.003   1.055   1.261
 0474   562  18.012   1.218   0.251
 0475   562  18.012   1.188   0.261
 0476   562  18.016   1.133   0.601
 0477   562  18.027   1.316         
 0478   562  18.035   1.248   0.691
 0480   562  18.049   1.103   0.272
 0481   562  18.061   1.470         
 0482   562  18.064   2.096         
 0483   562  18.073   1.882         
 0484   562  18.074   1.523         
 0485   562  18.079   1.160   0.337
 0486   562  18.080   1.119   0.437
 0487   562  18.086   1.152   0.331
 0488   562  18.086   1.395         
 0489   562  18.090   0.996   0.436
 0490   562  18.096   1.269         
 0491   562  18.096   1.197   0.472
 0492   562  18.097   1.224         
 0493   562  18.100   1.090         
 0494   562  18.101   1.531         
 0495   562  18.104   1.343         
 0496   562  18.104   1.982         
 0497   562  18.106   1.306         
 0498   562  18.111   1.294         
 0499   562  18.120   1.233         
 0500   562  18.125   1.018   0.287
 0501   562  18.135   2.219         
 0502   562  18.135   1.043   0.354
 0503   562  18.135   1.186   0.362
 0504   562  18.138   1.063   0.286
 0505   562  18.141   1.042         
 0507   562  18.145   1.090   0.335
 0509   562  18.150   1.398         
 0510   562  18.152   1.136   0.345
 0511   562  18.160   1.029   0.421
 0512   562  18.163   1.951         
 0513   562  18.164   1.158   0.376
 0514   562  18.167   1.499         
 0515   562  18.167   1.278         
 0516   562  18.169   1.313         
 0517   562  18.172   1.788         
 0518   562  18.177   1.103   0.729
 0519   562  18.178   1.130   0.194
 0520   562  18.182   1.221   0.673
 0521   562  18.186   1.285   0.095
 0523   562  18.192   1.575         
 0524   562  18.200   1.143   0.473
 0525   562  18.200   1.287         
 0526   562  18.208   1.481         
 0527   562  18.214   1.233         
 0528   562  18.217   1.100   0.294
 0529   562  18.220   1.629         
 0530   562  18.222   1.510         
 0531   562  18.224   1.103   0.403
 0532   562  18.229   1.762         
 0533   562  18.230   1.084   0.442
 0534   562  18.232   2.306         
 0535   562  18.234   1.384         
 0536   562  18.234   1.499         
 0537   562  18.243   1.232         
 0538   562  18.243   1.124         
 0540   562  18.250   1.300         
 0541   562  18.256   1.207   0.461
 0542   562  18.258   1.174   0.271
 0543   562  18.260   1.988         
 0544   562  18.260   1.374         
 0545   562  18.262   1.917         
 0546   562  18.264   1.270   0.538
 0547   562  18.266   1.415         
 0548   562  18.271   1.297         
 0549   562  18.276   1.319         
 0550   562  18.285   1.224         
 0551   562  18.289   1.077         
 0552   562  18.290   1.967         
 0553   562  18.291   1.182   0.728
 0554   562  18.294   1.138         
 0555   562  18.296   1.614         
 0556   562  18.298   1.571         
 0557   562  18.303   1.116   0.306
 0558   562  18.305   1.150         
 0560   562  18.311   1.351         
 0561   562  18.313   2.421         
 0563   562  18.319   0.964         
 0564   562  18.322   1.150   0.347
 0565   562  18.322   1.316         
 0566   562  18.323   1.145   0.287
 0567   562  18.328   1.060   0.480
 0568   562  18.330   2.054         
 0569   562  18.331   1.245         
 0570   562  18.337   1.542         
 0571   562  18.337   1.260         
 0572   562  18.341   1.271         
 0573   562  18.342   1.194         
 0574   562  18.350   0.938         
 0575   562  18.353   1.130         
 0576   562  18.355   1.096         
 0577   562  18.357   1.536         
 0579   562  18.368   1.807         
 0581   562  18.369   1.259   0.773
 0583   562  18.383   1.253         
 0584   562  18.391   1.139         
 0585   562  18.394   1.438         
 0586   562  18.397   1.640         
 0587   562  18.401   1.716         
 0588   562  18.404   1.513         
 0589   562  18.409   1.512         
 0590   562  18.410   1.187   0.313
 0591   562  18.419   1.230   0.830
 0593   562  18.426   1.118   0.760
 0594   562  18.430   1.253         
 0595   562  18.434   1.073   0.170
 0597   562  18.435   1.106   0.506
 0598   562  18.439   1.404         
 0600   562  18.445   1.662         
 0601   562  18.445   1.159         
 0602   562  18.445   1.544         
 0603   562  18.445   1.097         
 0605   562  18.451   2.472         
 0606   562  18.456   1.418         
 0607   562  18.456   2.419         
 0609   562  18.464   1.128   0.338
 0610   562  18.467   1.979         
 0612   562  18.475   1.224         
 0613   562  18.476   1.358         
 0614   562  18.480   1.356         
 0616   562  18.492   1.100   0.531
 0617   562  18.494   1.466         
 0618   562  18.496   1.292         
 0619   562  18.496   1.105   0.208
 0620   562  18.499   1.253         
 0621   562  18.501   1.362         
 0622   562  18.502   1.167         
 0623   562  18.504   2.226         
 0624   562  18.505   1.283   0.460
 0625   562  18.508   2.371         
 0626   562  18.522   2.163         
 0627   562  18.524   1.720         
 0628   562  18.525   1.201         
 0629   562  18.528   1.548         
 0630   562  18.528   1.155   0.325
 0631   562  18.532   1.306         
 0632   562  18.534   1.432         
 0633   562  18.535   1.385         
 0634   562  18.535   1.244         
 0635   562  18.538   1.213         
 0636   562  18.543   1.149   0.428
 0637   562  18.547   1.316         
 0638   562  18.548   1.660         
 0639   562  18.548   1.338         
 0640   562  18.550   0.821         
 0641   562  18.551   1.394         
 0642   562  18.551   1.289         
 0643   562  18.556   1.101         
 0644   562  18.560   1.135         
 0645   562  18.562   1.133         
 0646   562  18.565   1.015   0.368
 0647   562  18.565   1.168         
 0650   562  18.569   1.540         
 0651   562  18.569   1.551         
 0652   562  18.573   1.285         
 0653   562  18.574   1.989         
 0654   562  18.583   1.285         
 0655   562  18.583   1.213         
 0656   562  18.585   1.257         
 0658   562  18.587   1.534         
 0659   562  18.588   1.831         
 0660   562  18.590   1.436         
 0661   562  18.590   0.842   0.592
 0662   562  18.594   1.280         
 0663   562  18.604   1.356         
 0664   562  18.605   1.101         
 0665   562  18.607   1.317         
 0666   562  18.609   1.310         
 0667   562  18.613   2.313         
 0668   562  18.616   1.968         
 0669   562  18.616   1.873         
 0670   562  18.622   1.169         
 0671   562  18.623   1.661         
 0672   562  18.627   2.250         
 0673   562  18.630   1.247         
 0674   562  18.630   1.375         
 0675   562  18.631   1.258         
 0676   562  18.631   1.310         
 0677   562  18.637   1.681         
 0678   562  18.638   1.630         
 0679   562  18.638   1.253         
 0680   562  18.639   1.302   0.272
 0681   562  18.643   1.390         
 0682   562  18.646   1.612         
 0683   562  18.652   1.205         
 0684   562  18.653   1.168         
 0685   562  18.657   1.185         
 0686   562  18.661   1.552         
 0687   562  18.662   1.410         
 0688   562  18.662   1.042         
 0689   562  18.662   1.307         
 0690   562  18.664   1.031         
 0691   562  18.666   1.283   0.314
 0692   562  18.668   1.459         
 0693   562  18.679   1.157         
 0694   562  18.687   1.182         
 0695   562  18.688   1.450         
 0696   562  18.690   1.314         
 0697   562  18.690   1.298         
 0698   562  18.693   1.256         
 0699   562  18.693   1.272         
 0700   562  18.699   1.183         
 0701   562  18.701   1.348         
 0702   562  18.703   1.336         
 0703   562  18.704   1.643         
 0704   562  18.711   1.482         
 0705   562  18.715   1.554         
 0706   562  18.717   1.074         
 0707   562  18.718   1.259         
 0708   562  18.718   1.376         
 0709   562  18.721   1.412         
 0710   562  18.721   1.224         
 0711   562  18.723   1.383         
 0712   562  18.725   1.238         
 0713   562  18.725   1.167         
 0714   562  18.725   1.305         
 0715   562  18.729   1.226         
 0716   562  18.731   1.170         
 0717   562  18.743   1.323         
 0718   562  18.745   1.429         
 0719   562  18.745   1.799         
 0720   562  18.746   1.332         
 0721   562  18.750   1.089         
 0722   562  18.750   1.441         
 0723   562  18.752   1.117         
 0724   562  18.757   1.797         
 0725   562  18.758   1.223         
 0726   562  18.759   1.472         
