,RA_ICRS,DE_ICRS,e_RA_ICRS,e_DE_ICRS,mem_prob
591,103.10215002675,2.87095751716,0.1455,0.1421,0.8582042801869723
600,103.1028183068,2.86914511738,0.7342,0.8006,0.8233761119154072
608,103.08655763001,2.87585103133,0.1368,0.1322,0.9345000778809215
610,103.08391509309,2.87454260621,0.3998,0.3896,0.7739556007810056
612,103.0873465631,2.86747599113,0.2056,0.1999,0.9336332937827542
615,103.07628131542,2.85872412134,0.0651,0.0649,1.0
620,103.06532178881,2.87212722667,0.3709,0.3627,0.7497987345116405
622,103.07494933618,2.87722928207,0.0599,0.0569,0.7856456541844516
623,103.07854868835,2.87383150625,0.1499,0.1466,1.0
624,103.08728362883,2.87039321426,0.0398,0.0389,1.0
628,103.06499665051,2.87415844648,0.1752,0.1691,0.8590691168438858
636,103.08994172933,2.8792523673,0.1068,0.1046,0.9450981513330402
637,103.09375066686,2.87761730302,0.128,0.1251,0.8286065687149362
638,103.07814990561,2.89556310179,0.0852,0.0815,1.0
639,103.09796743254,2.87830950602,0.0414,0.0412,0.7498911874142868
641,103.09205537826,2.88912549735,0.1327,0.1278,0.7887000236257333
642,103.08909891913,2.89729626644,0.1008,0.1053,0.7347060048778624
643,103.10269229579,2.8964553514,0.1125,0.1048,0.9672430420938561
645,103.10621524862,2.901041692,0.1785,0.1703,0.7397616645945972
659,103.09850722118,2.88217319621,0.1138,0.1074,1.0
660,103.10850430267,2.89923897637,0.1412,0.1347,0.7621418408109008
665,102.93053775875,2.7959327499,0.0698,0.0669,0.8064645870162636
667,102.93211469928,2.79695668747,0.4281,0.4304,1.0
668,102.9566471374,2.80069634177,0.2347,0.2298,0.8284632064801027
669,102.94993615197,2.80556712913,0.0919,0.0883,0.896846583516992
670,102.93731193536,2.8044140349,0.298,0.2918,1.0
672,102.9435639616,2.78253509553,0.1626,0.1591,0.7045825842461731
675,102.9400606549,2.80389066938,0.0756,0.0737,0.7722390190889807
676,102.94394722087,2.80389391305,0.0844,0.0799,0.9892497313492504
679,102.9321911568,2.79995518643,0.0624,0.0601,0.7294066750723579
680,102.95079181907,2.80087953785,0.1707,0.1638,1.0
681,102.95360244541,2.79970870978,0.8438,0.8277,0.9039121904482588
682,102.95099302196,2.79576788639,0.0564,0.0532,0.880789927177431
687,102.94820861758,2.79200010002,0.4192,0.4062,0.7887000236257333
690,102.94416347421,2.7884849968,0.2318,0.2241,1.0
692,102.9355828037,2.79402313965,0.1688,0.1648,0.8560839003364715
695,102.94306077956,2.80554006037,0.3669,0.3634,0.7887000236257333
698,102.90679086776,2.80957616268,0.1697,0.1508,1.0
699,102.92868637731,2.81443268854,0.1146,0.1096,0.9827800861813258
706,102.91462462803,2.82647670107,0.3293,0.258,0.9815892554631559
707,102.91816922541,2.80150542082,0.0592,0.0509,0.910544225734255
708,102.90747877953,2.82505002362,0.2087,0.1969,1.0
711,102.94034196168,2.81714300497,0.1968,0.1743,0.7673536464400039
712,102.92355923613,2.82847909197,0.282,0.2708,0.8977778780225004
713,102.91049340408,2.80832059744,0.1137,0.108,0.9336332937827542
718,102.91592205376,2.80220466273,0.0449,0.0449,1.0
722,102.91012982979,2.81774606903,0.1512,0.1433,0.7969709612069545
725,102.97173817013,2.82030874175,0.5013,0.4918,1.0
728,102.9485104806,2.81354321399,0.0589,0.0567,1.0
736,102.96172730409,2.8294951631,0.059,0.0561,1.0
739,102.95598855436,2.8213445047,0.0546,0.0519,0.8920872029737706
740,102.96003191367,2.83109394637,0.0611,0.0585,1.0
743,102.97089969456,2.80827276745,0.1229,0.1154,0.7853378889825161
749,102.95647686444,2.82853184352,0.2812,0.2695,0.9225500147648868
758,102.98491262624,2.83910552232,0.1926,0.1844,0.9144187533668986
762,102.992670989,2.83161639827,0.052,0.05,1.0
767,102.98127895138,2.8431260508,0.5033,0.4875,0.8838930230349941
773,102.99462102085,2.84681095922,0.2391,0.2284,0.9109776852563417
774,102.99330120676,2.84580289898,0.1592,0.152,0.7006164587359164
776,102.98936053011,2.82645269198,0.2755,0.2664,0.9257189863956755
778,103.00620124651,2.83524614277,0.5325,0.5198,1.0
785,102.9347706424,2.83517726648,0.6628,0.6461,0.9552332798921348
788,102.94435412901,2.83064655372,0.1569,0.1386,0.8274441309286668
789,102.94252301934,2.83052628573,0.1628,0.1433,0.9056087982899675
794,102.94183613201,2.82052110932,0.0408,0.0387,1.0
797,102.95107533135,2.83831947727,0.0317,0.0301,0.8309181289315802
802,102.94127341223,2.85098531511,0.0338,0.032,1.0
803,102.94154440793,2.84751638508,0.1982,0.189,0.8224911788076076
804,102.94262823717,2.84617789835,0.1231,0.1167,0.8766600412323581
814,102.97565204269,2.86015065529,0.3373,0.3241,0.7067810992480987
817,102.96734660896,2.84500806025,0.594,0.5448,0.7708411712713824
822,102.95505513011,2.85306597131,0.6578,0.6456,0.8309181289315802
824,102.96733338079,2.84718866021,0.085,0.0746,1.0
825,102.97847100302,2.84911542119,0.1071,0.1019,1.0
827,102.95518961244,2.86437286659,0.0905,0.0833,0.8347600890276557
829,102.90855893921,2.83970084753,0.1023,0.0982,0.9666721886456657
830,102.89723229919,2.838423443,0.1894,0.1806,0.8054277548958141
832,102.90593950294,2.8387003488,0.5544,0.5369,0.9788641557997555
835,102.89862369658,2.83930432739,0.0438,0.0421,0.9872114788414172
836,102.90002523339,2.82859900865,0.0582,0.0519,1.0
837,102.8877720954,2.8450745723,0.4779,0.4496,0.7843897519084171
838,102.89180489844,2.8319328642,0.345,0.3253,0.9829129133520949
840,102.91306140816,2.83219382678,0.3589,0.3414,0.8956577363359506
841,102.90692535487,2.8309034547,0.4324,0.3671,0.6943803555876786
845,102.91312397337,2.83163751242,0.0541,0.0535,0.8714292594104502
846,102.89415291382,2.82298599377,0.0726,0.0664,1.0
854,102.89727864442,2.82232367437,0.0458,0.0401,1.0
855,102.8906924058,2.83372705883,0.1834,0.1731,0.9011360155360512
856,102.88769192089,2.83560768902,0.0386,0.036,0.9813978475943982
857,102.90545245709,2.83361093013,0.5326,0.527,0.9742182354313008
860,102.88342123691,2.857438324,0.0548,0.0521,1.0
861,102.87351530171,2.86478351408,0.0552,0.0514,1.0
864,102.87941493513,2.86558087983,0.1853,0.1754,0.8097555257627357
865,102.87739986423,2.85726112231,0.3655,0.344,0.908044253024153
868,102.87809253613,2.87154974425,0.5111,0.4738,0.69008945649234
878,102.93668793757,2.85375551461,0.1753,0.1527,0.7487961139902803
886,102.92814588826,2.86081883489,0.1766,0.1682,0.9248482841663488
889,102.91896532499,2.85391025242,0.1257,0.121,0.7780214764888951
892,102.90679117097,2.84866917293,0.0482,0.0458,0.9034525904788375
900,102.93770890698,2.88564399663,0.1071,0.1005,0.7006164587359164
901,102.94493471636,2.86605885045,0.1578,0.1488,0.91078659322336
902,102.93739134109,2.86468362459,0.465,0.4437,0.8608522454472441
905,102.94983360228,2.88100748753,0.1419,0.1344,0.7076014042580613
911,102.94864369412,2.87039128255,0.3476,0.3296,0.72551800317043
914,102.94252262964,2.86009876553,0.143,0.1357,0.8987568043887674
917,102.9498579578,2.88073149496,0.155,0.1455,0.9403095566203648
925,102.93335763917,2.87860786768,0.0392,0.0371,1.0
926,102.92474932784,2.87115094897,0.489,0.4661,1.0
927,102.95511939353,2.87717636202,0.1226,0.1176,1.0
929,102.93870195309,2.88304542905,0.4288,0.399,0.8751970237116197
935,102.90907158041,2.86594253889,0.1892,0.2006,0.8626711457050573
936,102.91347913356,2.87538686315,0.6398,0.6036,0.7832962047079031
943,102.90855559568,2.87248073047,0.1271,0.1199,0.9253750070422364
963,102.88659045599,2.86904104734,0.2604,0.2407,0.6919692679752626
964,102.90941740935,2.8696936687,0.1248,0.1182,1.0
966,102.8977942096,2.88991210119,0.5018,0.4682,1.0
975,102.91532811218,2.90169627468,0.047,0.0428,1.0
978,102.92622032937,2.90253007992,0.0603,0.0569,1.0
980,102.93119867281,2.90111588824,0.1234,0.1162,0.9511605493252869
982,102.9210169754,2.87945046345,0.1417,0.1479,0.7531490599524053
983,102.90387081408,2.89564305358,0.1885,0.172,0.9963873320462837
991,102.91668498082,2.87718833466,0.5556,0.5305,0.797743520363968
992,102.90487321312,2.88943799845,0.1,0.0926,1.0
994,102.91079489451,2.88397326159,0.1192,0.111,0.9137155732922851
1010,103.00800359966,2.86654320574,0.0958,0.0922,1.0
1011,103.00713681738,2.86071592932,0.1734,0.1632,0.8648270756048975
1013,103.00864759866,2.84774115128,0.1753,0.1666,0.6964538641697372
