,RA_ICRS,DE_ICRS,e_RA_ICRS,e_DE_ICRS,mem_prob
98,109.16498773184,13.66049892115,0.1028,0.0906,0.7755686618827635
105,109.17807219697,13.66454244456,0.118,0.1003,0.8503712270587686
109,109.17656955451,13.67913732754,0.063,0.0538,0.6403395664516045
110,109.18819517577,13.67180887105,0.5137,0.4208,0.6187940838888937
112,109.16374238205,13.66710924548,0.3543,0.2669,0.6610880819422119
114,109.19990349446,13.66815826573,0.474,0.3949,0.7484224805541374
115,109.19283926537,13.6759726423,0.3397,0.2778,0.7061902707732078
116,109.19165513186,13.67996190915,0.2738,0.223,0.780344743399421
117,109.17201392841,13.67019378291,0.1574,0.1343,0.7363934129147097
129,109.12784696636,13.67182816916,0.2256,0.1875,1.0
138,109.14132720503,13.69043294895,0.0724,0.0632,0.9332895892500281
139,109.15246997972,13.69648562077,0.0823,0.0718,0.9277460514415323
140,109.14245413508,13.68766035914,0.4513,0.3707,0.9662717451983694
145,109.14465732986,13.69435456993,0.2809,0.2312,0.7246092917138569
150,109.13433911652,13.68628152324,0.0645,0.0552,0.7567262229428328
151,109.13386530619,13.69214097183,0.0543,0.0454,0.8482917062511502
154,109.11638950404,13.69678103391,0.2081,0.1736,0.9172250346079471
159,109.1246799194,13.69558274736,0.0399,0.0329,1.0
160,109.1107451129,13.68934436653,0.1232,0.1019,0.7421831553809306
165,109.14674420313,13.70219494979,0.1569,0.1369,0.7716788379417147
167,109.1403562225,13.70626195812,0.0787,0.0689,1.0
168,109.13301727336,13.70552307779,0.2816,0.2305,0.8308089408947088
176,109.14567375825,13.71081519048,0.3859,0.3161,0.790626571485083
177,109.14655713931,13.71203689487,0.097,0.0811,0.8875161648342349
179,109.10520577685,13.70610425073,0.1012,0.0885,1.0
181,109.10946760367,13.70608715133,0.4251,0.3464,0.8984077317586843
184,109.11192013296,13.71229088257,0.0567,0.0471,0.86490382738675
194,109.10643051406,13.72559889369,0.2196,0.1896,0.9152637895651837
195,109.12252278495,13.72115189243,0.0729,0.0601,0.8781944186943357
196,109.11549926193,13.72972663546,0.8033,0.6755,0.6261252048697787
201,109.12125765197,13.7339395886,0.1239,0.1046,0.9982062401382898
203,109.11213507782,13.74277351111,0.0987,0.0811,1.0
204,109.12441887743,13.73907203155,0.037,0.0305,0.8636534335657412
205,109.11282106484,13.72040561728,0.139,0.1219,0.8831864705090581
209,109.09523938194,13.75247147821,0.0726,0.0607,0.8711840124725017
210,109.08777020664,13.74456015132,0.4867,0.4204,0.7188049505331587
211,109.08479714157,13.74290003973,0.1488,0.1268,1.0
214,109.09156211136,13.73918812545,0.0631,0.0552,0.8939039187200087
219,109.0900526959,13.75903991178,0.1119,0.0909,0.8403807192173253
221,109.08587448766,13.75237614965,0.1075,0.0834,0.9470175033810561
223,109.10349622793,13.74111295187,0.0638,0.0554,0.9154600723302135
224,109.08497146944,13.75317912772,0.1253,0.1032,0.6373720724865141
225,109.0816690654,13.76016630334,0.5632,0.481,0.9154600723302135
227,109.0845669435,13.76582078576,0.0822,0.0697,0.8786160685456621
229,109.0816562037,13.76926158055,0.5004,0.4334,0.9080568922586174
230,109.08693746701,13.77093829495,0.141,0.1226,0.7267840033375993
233,109.34817852955,13.63848302324,0.6202,0.5717,0.877044168397693
236,109.36506099113,13.65456083108,0.1733,0.1473,0.6538737163093102
238,109.37787267636,13.66604698625,0.4221,0.4149,0.9769193224076966
239,109.37972930248,13.66846531825,0.0349,0.0327,0.9956833470125341
240,109.29896727779,13.62162572371,0.2216,0.1951,0.7132510365416366
241,109.29314441915,13.62697480161,0.4517,0.4022,0.9508835769509575
243,109.29004406723,13.62026553292,0.0747,0.0698,0.8258973014727174
251,109.30616211023,13.62915564073,0.1265,0.1167,0.6599692276073172
256,109.32124058089,13.63342697346,0.1449,0.1403,0.7433500686017093
259,109.32776308468,13.63768272335,0.0408,0.0372,0.8766201307958001
261,109.32389319553,13.628866742,0.0819,0.0745,0.7879557124429908
272,109.28598150516,13.63342989298,0.3752,0.3332,0.9116212099007703
274,109.25957447969,13.62943038027,0.1496,0.1362,0.9351774905598225
275,109.25957774663,13.63962019124,0.0622,0.0578,0.7767198752064584
279,109.27458770017,13.64853008576,0.0992,0.0865,0.8149148656568524
281,109.30458966745,13.65533097921,0.0725,0.0662,0.7505674807321208
286,109.28541264343,13.65562070449,0.3477,0.2956,0.644939946014196
293,109.27453906828,13.64962127267,0.0912,0.0846,0.7819662126221197
295,109.28834767024,13.65029361472,0.052,0.0476,1.0
301,109.34081422831,13.64509017778,0.1205,0.1082,1.0
307,109.32100035754,13.65600618529,0.195,0.1584,0.8957370305164201
309,109.3204440605,13.65028866182,0.1372,0.1214,0.7775078472710611
310,109.32959920287,13.64733678525,0.1754,0.1555,0.9048777452436915
312,109.36796978657,13.67402045516,0.0308,0.0282,1.0
315,109.35641493811,13.65683761145,0.3611,0.3164,0.6958578890919901
316,109.33996210669,13.67324699982,0.151,0.131,0.9312892044081238
317,109.35039793527,13.67416126699,0.0782,0.0736,0.7061072432608588
318,109.35565942538,13.67298385559,0.3393,0.2847,0.8296258657987715
320,109.35966622663,13.67886758496,0.1591,0.14,0.9154600723302135
323,109.32266591761,13.66976511887,0.0348,0.0325,1.0
324,109.32528028016,13.6705399568,0.0576,0.0542,0.9975836189201684
342,109.33582719354,13.67192537447,0.3688,0.3408,0.7791719222912682
344,109.38708056509,13.67619437295,0.1676,0.155,0.7333959345158888
346,109.38193478372,13.68093864707,0.0856,0.0788,0.6912381213382243
351,109.37261064568,13.68892969016,0.2049,0.1873,1.0
356,109.38842756923,13.7090081052,0.1082,0.104,0.667686557158801
361,109.3981338343,13.70004601848,0.1428,0.1321,0.6641506265625674
365,109.3576954224,13.71400671258,0.2898,0.263,0.7605172353583646
366,109.35605627545,13.70066366428,0.0675,0.0644,0.8774902379110399
370,109.35023892786,13.70678766432,0.325,0.2955,0.9875545754136309
372,109.35652707791,13.72416670951,0.2482,0.2249,0.7316101674952099
373,109.37421478368,13.71969320589,0.1512,0.1427,1.0
375,109.37239906533,13.71759468888,0.0743,0.0705,0.8443586795929641
376,109.37669147117,13.74259358726,0.0471,0.0456,0.8974479856576917
387,109.39982883845,13.74674384886,0.0289,0.0283,0.6631858229953861
399,109.38846734729,13.73942400808,0.1095,0.1049,0.647368431469768
400,109.4100512047,13.74197015501,0.0616,0.0569,0.7951052899610149
402,109.4150546214,13.76671350882,0.0898,0.0876,0.7524969075572446
406,109.25974539771,13.65729993443,0.1608,0.1368,0.635770701232831
408,109.2517486917,13.66509463324,0.1199,0.1131,1.0
410,109.23922213831,13.64475226675,0.0289,0.0267,0.86526466235026
411,109.23295424143,13.65514609573,0.0678,0.0616,0.9982062401382898
418,109.26905676256,13.66474218678,0.2779,0.2369,0.6415384010346418
422,109.28430787868,13.66959097034,0.1725,0.1527,0.990749905550945
425,109.2684497478,13.66392845384,0.1766,0.158,1.0
426,109.27794019711,13.66377824385,0.2553,0.2306,1.0
431,109.22735718449,13.65329213689,0.2019,0.1732,0.6957079814702776
432,109.21295996448,13.67426854804,0.6917,0.5638,0.8226025903639447
441,109.21425846095,13.6758010215,0.2163,0.1792,1.0
443,109.23227834096,13.66184806953,0.3477,0.2965,0.8909333448210355
454,109.23710088099,13.68073913757,0.1698,0.1605,1.0
455,109.2564377628,13.69972775137,0.3407,0.2751,0.8673262444458486
466,109.28186364179,13.69257425979,0.514,0.346,0.6632231415548493
473,109.29503552422,13.69052020406,0.1893,0.1747,1.0
479,109.28271544926,13.69738892275,0.0289,0.027,1.0
489,109.30332130409,13.71153760235,0.5257,0.5099,0.6616492310480712
496,109.31624613684,13.70650096174,0.1451,0.1262,0.9670636189628035
511,109.27987641464,13.71469916714,0.2547,0.1924,0.7273879982573965
516,109.28197611898,13.70334579614,0.0465,0.0366,0.7028062704335445
522,109.25243167025,13.7087218888,0.0925,0.0808,0.6541811218115836
526,109.27559079595,13.69926547493,0.5792,0.4298,1.0
530,109.30711294133,13.72485248879,0.2533,0.2248,0.7416081760826967
533,109.29375650401,13.71249299724,0.2549,0.1912,0.8208297556269264
535,109.29625593658,13.73757156563,0.0434,0.0377,0.7767198752064584
547,109.27701239925,13.72298939306,0.4358,0.324,0.762718314680309
551,109.19566708659,13.6936514639,0.1683,0.1382,0.9357148985301512
553,109.2060144374,13.69066809745,0.5762,0.4776,0.7198536467680227
556,109.19356247974,13.69632648468,0.0454,0.0382,0.8688457543464005
562,109.2048331788,13.69361398922,0.0395,0.0326,0.7285901442908301
566,109.19980127326,13.696597424,0.1298,0.1103,0.6677508056270653
586,109.2177714212,13.71649947005,0.0403,0.0335,0.7986473639649037
587,109.21067429123,13.70364441163,0.0954,0.0813,0.8990602430961419
591,109.16978435,13.71215050429,0.0887,0.0785,0.6264690318342532
605,109.19338624387,13.71085353978,0.0701,0.0549,0.9277686879808065
607,109.20709355025,13.72872370695,0.3479,0.2852,0.9719150244244944
612,109.20456918811,13.71391586436,0.0601,0.0515,1.0
614,109.21228211701,13.73827947851,0.0815,0.0695,0.6296077400493926
620,109.21913848071,13.72213136796,0.32,0.2626,0.8986543733742969
