BITPIX  =                  -32 /32 BIT REAL NUMBERS              
EXT_DIR = '/Users/timn/CMDfit/Data/'   /Extinction directory     
EXT_FILE= 'Ext_Tables/btsettl_Mp0.0_bessell_photon.ext'        /E
   27.9327946       21.5896320    
   27.9395256       21.7824860    
   27.9402962       21.9752693    
   27.9411392       22.2602959    
   27.9416637       22.5387611    
   27.9418278       22.7986164    
   27.9463577       23.0045624    
   27.9467506       23.2759953    
   27.9502449       23.5407887    
   27.9531250       23.7933006    
   27.9657898       24.0329227    
   27.9707985       24.3011150    
   28.0080147       24.5303917    
   28.0175533       24.7864227    
   28.0245609       25.0535812    
   28.0337353       25.3017673    
   28.0374985       25.5276890    
   28.0389061       25.7991180    
   28.0439358       26.0460415    
   28.0478172       26.2982235    
   28.0540676       26.6004696    
   28.0812626       26.8787346    
   28.0955410       27.0571175    
   28.1002083       27.3663921    
   28.1037617       27.6612206    
   28.1055126       27.9361343    
   28.1065311       28.1262283    
   28.1068687       28.4274578    
   28.1191177       28.6394100    
   28.1198578       28.8512840    
   28.1378269       29.1618633    
   28.1556282       29.3953743    
   28.1592484       29.6821384    
   28.1748829       29.9299564    
   28.1816959       30.0969276    
   28.1969109       30.4054928    
   28.2006798       30.7064648    
   28.2093124       30.8829269    
   28.2102833       31.1154346    
   28.2220974       31.3033123    
   28.2268791       31.5561466    
   28.2291622       31.8029480    
   28.2394047       31.9651718    
   28.2419052       32.1993637    
   28.2449570       32.4175911    
   28.2465553       32.7050400    
   28.2472572       32.8905716    
   28.2605705       33.1071014    
   28.2637787       33.2869110    
   28.2677116       33.5234871    
   28.2693844       33.8210716    
   28.2695103       34.0743332    
   28.2840385       34.2404556    
   28.2991600       34.4171181    
   28.3048801       34.7162704    
   28.3083305       34.8842125    
   28.3126316       35.1498032    
   28.3126812       35.4215775    
   28.3129463       35.5815887    
   28.3146000       35.8792953    
   28.3180637       36.0625420    
   28.3183670       36.3463173    
   28.3208542       36.5293083    
   28.3243828       36.6847839    
   28.3325081       36.9246140    
   28.3326778       37.1383438    
   28.3360825       37.4261627    
   28.3486061       37.6431313    
   28.3523979       37.8452415    
   28.3548088       38.1052895    
   28.3619175       38.3159180    
   28.3749161       38.4675140    
   28.3801289       38.6860695    
   28.3844261       38.9144287    
   28.3874130       39.0685959    
   28.3985691       39.3412132    
   28.3987789       39.5341911    
   28.4237576       39.6963997    
   28.4263000       39.8407898    
   28.4267559       39.9851456    
   28.4392548       40.1699524    
   28.4425507       40.3461533    
   28.4437561       40.4995232    
   28.4535179       40.6916656    
   28.4658566       40.9552650    
   28.4725857       41.2303619    
   28.4895535       41.3873253    
   28.4949226       41.6593628    
   28.5042057       41.7982368    
   28.5151691       41.9978676    
   28.5298004       42.2591209    
   28.5375481       42.5193634    
   28.5381489       42.7260132    
   28.5419426       42.9739952    
   28.5500774       43.2153549    
   28.5638409       43.3930435    
   28.5640488       43.5588608    
   28.5722065       43.7765579    
   28.6176701       44.0208817    
   28.6202126       44.2238503    
   28.6239948       44.3576927    
   28.6260509       44.5847626    
   28.6272888       44.7153473    
   28.6405964       44.9306259    
   28.6488800       45.1450119    
   28.6490860       45.3233109    
   28.6508274       45.5142021    
   28.6750870       45.7162743    
   28.6822929       45.9085541    
   28.6846638       46.1240501    
   28.6860256       46.3601685    
   28.6860790       46.5706062    
   28.6899910       46.6942825    
   28.6990852       46.8565788    
   28.7033844       47.0700607    
   28.7111187       47.2778778    
   28.7284451       47.4532394    
   28.7285709       47.6952820    
   28.7308254       47.8963814    
   28.7568913       48.0859375    
   28.7604179       48.2934189    
   28.7605839       48.5057144    
   28.7607231       48.7331810    
   28.7608128       48.8525467    
   28.7683277       48.9799767    
   28.7888012       49.2094917    
   28.8110008       49.3594627    
   28.8147774       49.5274086    
   28.8249016       49.7283058    
   28.8324394       49.8667717    
   28.8362808       50.0018272    
   28.8393593       50.1795921    
   28.8431454       50.3786659    
   28.8558750       50.4978600    
   28.8624115       50.6905403    
   28.8638954       50.8268433    
   28.8665848       50.9509888    
   28.8704929       51.0965576    
   28.8712368       51.2636375    
   28.8788643       51.3898926    
   28.8954735       51.6074905    
   28.8957291       51.7385902    
   28.9051781       51.9271927    
   28.9087238       52.0380516    
   28.9098053       52.1945648    
