,Vmag,Bmag
116,-7.90820997947654,-7.421740671591155
117,-9.065239982522371,-8.541505798004641
118,-8.822580454428063,-7.858295211395787
119,-10.262147367424896,-9.706777308246275
120,-8.06689313481372,-7.402153532772338
121,-8.915851537616433,-8.366452255413183
122,-8.529375771916797,-8.001357574817211
123,-9.9273019439782,-9.418995402893957
124,-11.703507367818442,-11.214846256889706
125,-9.63821329400497,-9.099199277033119
126,-9.112804076438888,-8.532439700273727
127,-9.876706684906994,-8.955182185136339
128,-8.706774983564966,-6.672274353413741
129,-14.820559509200946,-13.879519524053821
130,-9.236880440331005,-8.290735286665571
131,-9.925298121067765,-9.390647952621249
132,-8.648558188511045,-7.810654942465045
133,-8.640157227392343,-8.164646344576418
134,-11.730155754995732,-11.247130158719772
135,-9.27110893560233,-8.639259678174557
136,-9.444977796692765,-8.783201047647715
137,-9.41356797993483,-8.919218842849778
138,-8.430195168826325,-7.691788698460015
139,-11.830830113859179,-11.37517187019471
140,-8.8470044625691,-8.089233601659654
141,-10.435741619207771,-9.955884511867975
142,-8.619487326809505,-8.154704976941641
143,-9.54179043987508,-8.679304027652448
144,-8.124862618066619,-7.572583604820899
145,-8.039597130100383,-7.5168071112844
146,-7.583534680428321,-7.056043565047513
147,-9.096090193775876,-8.582575511892001
148,-8.619702932999244,-7.244422077771003
149,-9.320841850487705,-8.385125492712138
150,-10.665393038207814,-10.200933655805715
151,-9.23731830303296,-8.653845379309088
152,-9.138814084803963,-8.091621117691206
153,-9.909211083039144,-9.398891895283759
154,-8.630496203353852,-7.998420542449315
155,-9.321113488020595,-8.381938392863168
156,-10.378939178632171,-9.75994296088487
157,-8.756740729354066,-8.133427960070595
158,-10.717792361068103,-10.197307075663156
159,-10.60939650317031,-10.08480007419304
160,-11.450681711628839,-10.954349706814178
161,-9.796542239297272,-9.101045793482353
162,-10.611544891071802,-10.08541022099365
163,-8.642810215242685,-7.841083835847442
164,-10.237644536728844,-9.416558921144567
165,-8.955967156035337,-8.4566862458833
166,-10.342918004438781,-9.892976770822049
167,-9.15317826221705,-8.655779526638444
168,-8.64028794838144,-8.140800671548249
169,-8.284879000099851,-7.478208690485218
170,-8.4206212000375,-7.547676644479321
171,-8.480198959582312,-6.9068524333166845
172,-10.09475967170679,-9.375232740165746
173,-10.04118404758967,-9.385934822232645
174,-8.824469036445864,-7.743383734274203
175,-10.409262726998929,-9.589848735703303
176,-10.649924980655861,-9.961570262875618
177,-9.30728423798984,-8.642697141161175
178,-10.680217219296752,-10.178046688098032
179,-9.569204072473914,-8.807030509233153
180,-8.901563401519484,-8.303347641905248
181,-8.063153669484468,-7.243687608555005
182,-11.962034967352528,-10.983687822226077
183,-12.773425992125414,-12.272464441552707
184,-8.43222330078386,-7.653638349118204
185,-9.558082621358084,-8.899637306975404
186,-9.654370233798597,-9.075543106102526
187,-9.976513420853044,-9.330769518539023
188,-8.39500814141709,-7.1807848596696475
189,-8.078326790561189,-7.377207618701496
190,-8.251693723076665,-7.388936329611838
191,-9.20241029101884,-8.442929747765787
192,-8.603481178679496,-8.442929747765787
193,-9.189249793244887,-8.40929955372223
194,-8.118443867550056,-7.42897291490978
195,-9.686202780133579,-9.015673885292323
196,-10.508147608165464,-9.89935451825475
197,-9.483213349666318,-8.761075298590518
198,-8.196325556594411,-7.022516664080952
199,-9.238063050807328,-8.468327262952847
200,-9.728361810698976,-8.744648668783006
201,-11.065714238636806,-10.616534053424685
202,-8.361984342048832,-7.599071208174197
203,-8.918817302160079,-7.874933307474459
204,-11.961710898757644,-11.044273553795215
205,-9.206848044469242,-7.877939646022542
206,-8.216412291763826,-7.373867493047975
207,-11.768394465054772,-10.796129952932256
208,-9.117958777121459,-8.217740349913456
209,-7.740850643172853,-4.419520264092839
210,-7.176075467605378,
