,Vmag,Bmag
51,-9.081752443363671,-8.37540204416251
52,-7.288659346741283,-6.547103489530254
53,-8.909911861294553,-7.5584223297726165
54,-11.329629196244612,-10.620145794237779
55,-7.484188785316974,-6.641972307495136
56,-8.058762732752069,-6.733633464579323
57,-7.452798650561114,-6.319306943023272
58,-7.209039560288426,-6.183254808535051
59,-7.076414407908541,-6.644036736047018
60,-9.993009631293795,-9.086925501717285
61,-10.070184626916188,-9.390474977865717
62,-10.807032419712773,-10.173121031128286
63,-8.255199235179512,-6.879259774960735
64,-10.441730730066652,-7.661436485861218
65,-8.907493853348726,-7.728420831186588
66,-7.653995934752692,-6.563378961995909
67,-9.240463347766616,-8.662306065426131
68,-7.34367929828548,-6.957177030323428
69,-9.061186210502118,-8.476782423226798
70,-6.644609353015397,-6.619618258790889
71,-6.831856129961196,-6.56411668242905
72,-7.67590306299336,-7.143343674944122
73,-9.702884363628382,-8.787282404702337
74,-11.248966434418186,-10.560085555130241
75,-8.356871602266143,-7.2881678108771055
76,-11.552119625220953,-11.032047517615272
77,-6.494754226547976,-6.681226911944577
78,-13.283410047069022,-12.705709476763348
79,-10.078715485947257,-8.989601792407582
80,-9.996238580235385,-9.42530039390818
81,-7.8107437237015445,-6.418485050897665
82,-8.512333834848194,-6.931982459080583
83,-13.693602848796933,-13.09835339414246
84,-10.559975632718032,-9.95767024968539
85,-8.342674525133722,-7.885474227801029
86,-7.350368075332824,-7.088837756002367
87,-10.817821390173204,-10.177319403514254
88,-9.177943982484816,-8.364773347777964
89,-10.229717339865127,-9.621691200790343
90,-7.04551021773709,-6.189168853691928
91,-6.987805245325789,-6.811463340542867
92,-9.286652594461549,-8.383875353866538
93,-13.44384582916871,-12.883831630930938
94,-8.724362052298218,-7.29572795480118
95,-6.810887137320676,-6.604576890019914
96,-7.4724412264927365,-7.168077286790314
97,-9.577605085858622,-8.827410576887877
98,-8.547818713330527,-8.033907709628792
99,-8.139791282927595,-7.72908169663724
100,-8.327837516845962,-7.113716367111715
101,-9.502323909955873,-8.43468624991163
102,-6.558311283804104,-6.973474979636043
103,-7.99146196448492,-6.958701950625345
104,-11.076604534623591,-10.484251316080279
105,-7.192674106878776,-6.461935774755199
106,-11.346335317870487,-10.693987203968366
107,-8.519178727792692,-6.835235412128111
