,id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,sky,peak,flux,mag
17,18,795.3148769348212,60.660589407038046,0.5701361422995342,-0.11061350172481238,-0.08737726883315798,49,0.0,1231.7194263245915,95.85869113127482,-4.9540787369381505
18,19,384.96062331128036,65.25634207713877,0.6867955441889749,-0.04117072865691603,-0.3680460663431879,49,0.0,790.4483137666804,2.4353753456403604,-0.9664147629300108
19,20,64.87497106081503,67.04975404176558,0.5988054442412297,-0.06893340467466214,-0.11174922137185737,49,0.0,7921.499697812903,1483.6387767942658,-7.9283204391146365
20,21,605.5222514266004,69.23200066198955,0.6002079208374612,-0.11869051894412092,-0.1499966434190092,49,0.0,825.0731601531659,9.666731221445387,-2.4631991085578635
21,22,14.642464612639715,73.75095283333698,0.7135238169368253,-0.20656338701580543,-0.24335691629293935,49,0.0,783.5719208379635,1.1949589892539227,-0.1933825016071547
22,23,552.1504736308834,75.5364946281978,0.8305454237168869,0.12258153902696559,0.16832399553833166,49,0.0,784.2006250799429,1.127789192553826,-0.13056982122241703
23,24,583.3749735198476,76.8720797360982,0.5653889146837496,-0.04881337905511892,-0.14017862196322883,49,0.0,1011.0589871173227,49.736738504976245,-4.241693257334164
24,25,685.5085843370164,77.24516503453088,0.5474715064078345,-0.11232650216669939,-0.11452408493672721,49,0.0,2888.045394785443,454.3497228522618,-6.6434756686858245
25,26,175.2567315024358,77.69645668167662,0.7453929622301684,0.3490519003793213,0.2119026260509153,49,0.0,785.483660946207,1.2989476879908035,-0.283979153135999
26,27,105.80154363809159,79.96537820707046,0.5006255085981938,-0.0708337714411412,-0.091907561128043,49,0.0,805.147324056451,6.402916086964046,-2.015944525602402
27,28,187.3208234922002,81.02824841752124,0.5536952878370833,-0.07123115207272293,-0.22068705376919603,49,0.0,795.5141333319243,3.9107043455691297,-1.4806374598871017
